ASIN,Title,Price,Rating,Number of Raters,Product URL
B09G9D8KRQ,Apple iPhone 13 (128GB) - Starlight,3848624.97,4.5,33316,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDY0NDE3NjQ2MzYzMjMwOjE3NDQwMzUzNDU6c3BfYXRmOjIwMDc0MjM1MTE4MTAzOjowOjo&url=%2FApple-iPhone-13-128GB-Starlight%2Fdp%2FB09G9D8KRQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU%26dib_tag%3Dse%26keywords%3Diphone%2B13%26nsdOptOutParam%3Dtrue%26qid%3D1744035344%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B09G9D8KRQ,Apple iPhone 13 (128GB) - Starlight,3848624.97,4.5,33316,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-3
B09G99B791,Apple iPhone 13 (512GB) - Starlight,5815743.67,4.5,33316,https://www.amazon.in/Apple-iPhone-13-512GB-Starlight/dp/B09G99B791/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-4
B09G9BL5CP,Apple iPhone 13 (128GB) - Blue,3848624.97,4.5,33316,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-5
B09G984RNC,Apple iPhone 13 (512GB) - Midnight,5815743.67,4.5,33316,https://www.amazon.in/Apple-iPhone-13-512GB-Midnight/dp/B09G984RNC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-6
B09G9JJT7M,Apple iPhone 13 (512GB) - Blue,5815743.67,4.5,33316,https://www.amazon.in/Apple-iPhone-13-512GB-Blue/dp/B09G9JJT7M/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-7
B09G97M122,Apple iPhone 13 (512GB) - Pink,5815743.67,4.5,33316,https://www.amazon.in/Apple-iPhone-13-512GB-Pink/dp/B09G97M122/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-8
B09G95PVDX,Apple iPhone 13 (512GB) - (Product) RED,5815743.67,4.5,33316,https://www.amazon.in/Apple-iPhone-13-512GB-Product/dp/B09G95PVDX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-9
B09V4KHL1B,Apple iPhone 13 (512 GB) - Green,5815743.67,4.5,33316,https://www.amazon.in/Apple-iPhone-13-512-GB/dp/B09V4KHL1B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-10
B0CB8KC11L,LOXXOÂ® Microfiber Candy Case Compatible for iPhone 13 / iPhone 14 6.1 Inch Shockproof Slim Back Cover Liquid Silicone Case - Off White,32414.7,3.9,2224,https://www.amazon.in/LOXXO%C2%AE-Microfiber-Compatible-Shockproof-Silicone/dp/B0CB8KC11L/ref=sr_1_16?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3LYXf-9siJPaACvvAMT6-moSEmgR9KSf2on-jt5N1Gm4oaxt5C-eQGIA1OCrrz8sZfHGI5LgbCJM7Gz4LFaZt8sojh4jrgSnsjrr_o4PH6pGA0-hiUbJU7p-bVSTYpjE2bGDJM0LyHof6IhWM1PIG5GCVqpBPnKUivKbL2I2it5NagGnFatrU7zCewfYrnUvsHBoQuniiYhlozZOECEqmiQ.OVV1H5I5fZ4_e9IxrnVcwDgclpM5YKdcWWty7e1m7jU&dib_tag=se&keywords=iphone+13&nsdOptOutParam=true&qid=1744035344&sr=8-16
